"filename", "language", "JSON with Comments", "TypeScript", "Shell Script", "JSON", "JavaScript", "Markdown", "HTML", "comment", "blank", "total"
"d:\Works\source\phaser-repositories\njs-game-unit-module\.cursor\rules\any-type-prohibition.mdc", "Markdown", 0, 0, 0, 0, 0, 72, 0, 0, 10, 82
"d:\Works\source\phaser-repositories\njs-game-unit-module\.cursor\rules\constants-organization.mdc", "Markdown", 0, 0, 0, 0, 0, 132, 0, 0, 20, 152
"d:\Works\source\phaser-repositories\njs-game-unit-module\.cursor\rules\enum-organization.mdc", "Markdown", 0, 0, 0, 0, 0, 161, 0, 0, 26, 187
"d:\Works\source\phaser-repositories\njs-game-unit-module\.cursor\rules\interface-dependency-inversion.mdc", "Markdown", 0, 0, 0, 0, 0, 105, 0, 0, 17, 122
"d:\Works\source\phaser-repositories\njs-game-unit-module\.cursor\rules\interface-inheritance.mdc", "Markdown", 0, 0, 0, 0, 0, 221, 0, 0, 47, 268
"d:\Works\source\phaser-repositories\njs-game-unit-module\.cursor\rules\interface-organization.mdc", "Markdown", 0, 0, 0, 0, 0, 107, 0, 0, 13, 120
"d:\Works\source\phaser-repositories\njs-game-unit-module\.cursor\rules\logger-usage.mdc", "Markdown", 0, 0, 0, 0, 0, 39, 0, 0, 7, 46
"d:\Works\source\phaser-repositories\njs-game-unit-module\.cursor\rules\require-statement-prohibition.mdc", "Markdown", 0, 0, 0, 0, 0, 118, 0, 0, 17, 135
"d:\Works\source\phaser-repositories\njs-game-unit-module\.cursor\rules\semicolon-requirement.mdc", "Markdown", 0, 0, 0, 0, 0, 48, 0, 0, 9, 57
"d:\Works\source\phaser-repositories\njs-game-unit-module\.cursor\rules\type-safety.mdc", "Markdown", 0, 0, 0, 0, 0, 80, 0, 0, 12, 92
"d:\Works\source\phaser-repositories\njs-game-unit-module\.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 13
"d:\Works\source\phaser-repositories\njs-game-unit-module\docs\CODING_RULES.md", "Markdown", 0, 0, 0, 0, 0, 1685, 0, 0, 280, 1965
"d:\Works\source\phaser-repositories\njs-game-unit-module\docs\solid-bundle-with-prs\00-README.md", "Markdown", 0, 0, 0, 0, 0, 219, 0, 0, 8, 227
"d:\Works\source\phaser-repositories\njs-game-unit-module\docs\solid-bundle-with-prs\01-SOLID-Scorecard.md", "Markdown", 0, 0, 0, 0, 0, 29, 0, 0, 12, 41
